Release_Date,Game_Title,Platform,Series
2016-11-18,Pokémon Sun,Nintendo 3DS,Main Series
2016-11-18,Pokémon Moon,Nintendo 3DS,Main Series
2017-11-17,Pokémon Ultra Sun,Nintendo 3DS,Main Series
2017-11-17,Pokémon Ultra Moon,Nintendo 3DS,Main Series
2018-11-16,Pokémon: Let's Go Pikachu!,Nintendo Switch,Remake/Side
2018-11-16,Pokémon: Let's Go Eevee!,Nintendo Switch,Remake/Side
2019-11-15,Pokémon Sword,Nintendo Switch,Main Series
2019-11-15,Pokémon Shield,Nintendo Switch,Main Series
2021-11-19,Pokémon Brilliant Diamond,Nintendo Switch,Remake
2021-11-19,Pokémon Shining Pearl,Nintendo Switch,Remake
2022-01-28,Pokémon Legends: Arceus,Nintendo Switch,Legends Series
2022-11-18,Pokémon Scarlet,Nintendo Switch,Main Series
2022-11-18,Pokémon Violet,Nintendo Switch,Main Series
2025-10-16,Pokémon Legends: Z-A,Nintendo Switch & Switch 2,Legends Series
